  n         chi2      alfa
406     7.688089   -0.9414
407     7.374329   -0.9402
408     7.687591   -0.9374
409     7.499831   -0.9379
410     8.005714   -0.9419
411     7.355742   -0.9403
412     7.638366   -0.9411
413    13.045873   -0.9321
414    11.443605   -0.9449
415    13.473087   -0.9317
416    25.617940   -0.9087
417    24.539697   -0.9137
418    18.544175   -0.9282
419    18.615855   -0.9281
420    19.331827   -0.9277
421    19.108635   -0.9475
422    18.000913   -0.9287
423    11.931800   -0.9327
424     7.844364   -0.9371
425     7.571637   -0.9378
426     7.634542   -0.9410
427     7.282398   -0.9395
428     8.700755   -0.9360
429     7.669888   -0.9376
430     8.320102   -0.9364
431     7.373591   -0.9387
432     8.158350   -0.9423
433     8.267865   -0.9365
434     7.455904   -0.9405
435     7.451942   -0.9384
436     7.331601   -0.9392
437     7.618233   -0.9409
438     8.205426   -0.9366
439     8.893066   -0.9357
440     7.271282   -0.9396
441     7.499771   -0.9407
442     7.355742   -0.9403
443     7.688089   -0.9414
444     7.595497   -0.9408
445     9.608779   -0.9350
446     7.821901   -0.9414
447     8.580734   -0.9430
448     8.012361   -0.9417
449     7.355742   -0.9403
450     7.488930   -0.9406
451    10.182015   -0.9344
452     9.657984   -0.9439
453     9.645047   -0.9439
454     8.230874   -0.9424
455     7.363518   -0.9387
456     7.464053   -0.9406
457     7.343853   -0.9389
458     7.487580   -0.9380
459     7.271282   -0.9396
460    10.659137   -0.9446
461     7.343667   -0.9391
462     7.815752   -0.9371
463    12.024928   -0.9326
464     9.250535   -0.9435
465     8.626986   -0.9361
466     9.161545   -0.9434
467     8.169954   -0.9423
468     9.918394   -0.9348
469     7.344715   -0.9392
470     7.701018   -0.9374
471    11.868637   -0.9451
472    11.583015   -0.9331
473    10.625845   -0.9340
474     8.933315   -0.9357
475     7.701018   -0.9374
476    10.510678   -0.9341
477     7.344952   -0.9388
478    10.094289   -0.9346
479    10.118087   -0.9345
480     8.440137   -0.9426
481     7.756617   -0.9373
482     7.442877   -0.9384
483     8.224631   -0.9424
484     8.175843   -0.9423
485     7.355742   -0.9403
486     7.258485   -0.9398
487    10.182015   -0.9344
488    10.706252   -0.9338
489     7.271282   -0.9396
490    10.709491   -0.9446
491     7.327374   -0.9393
492     7.566110   -0.9378
493    10.625845   -0.9340
494     9.476343   -0.9352
495     8.664226   -0.9361
496     7.638366   -0.9411
497     7.414857   -0.9404
498     7.490927   -0.9383
499     7.327374   -0.9393
500     7.368021   -0.9404
501     7.844364   -0.9371
502     7.682832   -0.9413
503     7.534935   -0.9381
504     8.425236   -0.9363
505    10.776866   -0.9337
506     8.073852   -0.9367
507     8.119549   -0.9421
508    15.550473   -0.9305
509    12.719149   -0.9321
510     7.509873   -0.9383
511     7.544300   -0.9378
512    12.103682   -0.9326
513     8.563682   -0.9429
514     7.664588   -0.9412
515     8.437198   -0.9427
516     7.271282   -0.9396
517     7.345529   -0.9388
518     8.440137   -0.9426
519     7.686280   -0.9413
520     8.105311   -0.9366
521     8.836415   -0.9358
522     8.855108   -0.9359
523     7.908650   -0.9369
524     8.124920   -0.9421
525     7.464053   -0.9405
526     7.636434   -0.9377
527     8.994698   -0.9433
528    11.834227   -0.9328
529     8.073852   -0.9367
530    11.960794   -0.9327
531    11.868637   -0.9452
532     7.595814   -0.9408
533     7.344715   -0.9392
534     8.573009   -0.9362
535     7.271282   -0.9396
536     7.462916   -0.9383
537     7.363518   -0.9387
538     7.596057   -0.9409
539     7.343667   -0.9391
540     7.544150   -0.9381
541     7.636434   -0.9377
542    16.893819   -0.9296
543    15.176798   -0.9308
544     9.465621   -0.9438
545    16.980237   -0.9468
546     7.893675   -0.9370
547     7.684528   -0.9413
548     9.577233   -0.9439
549     7.361715   -0.9402
550     7.509873   -0.9383
551     7.815752   -0.9371
552     7.616044   -0.9377
553     8.580734   -0.9431
554    10.555075   -0.9445
555     7.547379   -0.9381
556     7.448948   -0.9385
557     8.425236   -0.9363
558     8.236180   -0.9424
559     9.918394   -0.9348
560     8.267865   -0.9365
561     7.641825   -0.9411
562     7.265630   -0.9397
563     7.462916   -0.9384
564     7.677161   -0.9375
565     8.019411   -0.9419
566    10.625845   -0.9339
567     9.815118   -0.9441
568    11.550849   -0.9332
569     7.604669   -0.9377
570     9.033911   -0.9433
571    11.281403   -0.9333
572    14.105101   -0.9313
573    15.176798   -0.9307
574     9.344624   -0.9436
575     7.669888   -0.9376
576     8.759020   -0.9432
577     9.070662   -0.9355
578     8.473609   -0.9428
579     7.632969   -0.9410
580    13.040435   -0.9321
581     8.828809   -0.9359
582     7.703053   -0.9375
583     7.342581   -0.9391
584     7.690080   -0.9375
585     7.638366   -0.9411
586     7.908650   -0.9369
587     7.728710   -0.9373
588     7.868010   -0.9370
589     7.352839   -0.9403
590     7.682832   -0.9413
591     9.743619   -0.9440
592     7.354040   -0.9387
593    11.960794   -0.9327
594     8.005714   -0.9419
595     7.488930   -0.9406
596     8.676837   -0.9431
597     8.768442   -0.9432
598    10.317123   -0.9445
599    10.758991   -0.9338
600     7.327374   -0.9393
601    10.429217   -0.9342
602     7.265630   -0.9397
603     7.378917   -0.9401
604     8.191860   -0.9423
605    11.995833   -0.9326
606     7.373591   -0.9386
607     7.342581   -0.9392
608     7.517372   -0.9382
609     7.844364   -0.9370
610     7.488930   -0.9406
611     7.500615   -0.9407
612     9.454616   -0.9352
613     7.284447   -0.9398
614     7.714837   -0.9373
615     8.073852   -0.9367
616     9.102521   -0.9433
617     9.246920   -0.9354
618     7.728710   -0.9373
619     8.855108   -0.9359
620     8.058203   -0.9367
621     7.517372   -0.9382
622     7.373591   -0.9387
623     8.140957   -0.9366
624     9.070662   -0.9355
625     7.282398   -0.9395
626     7.358441   -0.9403
627    10.454205   -0.9342
628    10.781983   -0.9447
629     7.373591   -0.9386
630    13.055236   -0.9457
631     7.371092   -0.9402
632     7.669888   -0.9376
633     7.283931   -0.9399
634     7.306398   -0.9394
635     7.938760   -0.9369
636     7.632969   -0.9410
637     8.146976   -0.9422
638     7.440028   -0.9385
639     7.499771   -0.9407
640     7.666059   -0.9412
641     7.288315   -0.9395
642     7.999671   -0.9417
643     7.666059   -0.9413
644     7.349964   -0.9390
645     7.669888   -0.9375
646     7.509873   -0.9382
647     8.430474   -0.9362
648     8.005714   -0.9419
649     8.425236   -0.9363
650     7.935994   -0.9416
651     8.430474   -0.9362
652     7.682832   -0.9413
653     8.267865   -0.9365
654     7.923678   -0.9369
655     7.462916   -0.9384
656     7.371092   -0.9402
657     8.284382   -0.9365
658     9.465621   -0.9438
659     8.847578   -0.9359
660     8.164123   -0.9423
661     7.919996   -0.9415
662     7.365279   -0.9401
663     7.464053   -0.9405
664     7.342593   -0.9390
665     7.687591   -0.9374
666     8.376637   -0.9363
667     9.070662   -0.9356
668     8.114236   -0.9420
669    15.922863   -0.9301
670     7.327374   -0.9393
671     7.517372   -0.9382
672     7.644427   -0.9376
673    10.799123   -0.9447
674     7.483850   -0.9380
675     7.766037   -0.9372
676    10.510678   -0.9341
677     9.746177   -0.9349
678     7.374329   -0.9402
679     7.533625   -0.9378
680     8.114236   -0.9420
681     7.638366   -0.9411
682     8.498426   -0.9362
683     8.359704   -0.9364
684    10.287231   -0.9343
685     7.483850   -0.9380
686     7.923413   -0.9416
687     7.280087   -0.9396
688     8.345112   -0.9425
689     8.158350   -0.9423
690     7.331601   -0.9392
691     7.265630   -0.9397
692     9.216722   -0.9434
693     7.943520   -0.9416
694     8.408090   -0.9363
695     9.329388   -0.9436
696     8.580734   -0.9430
697    10.336232   -0.9343
698     8.302707   -0.9364
699    12.211957   -0.9454
700    10.555075   -0.9446
701     8.068025   -0.9420
702     8.119549   -0.9421
703     7.344715   -0.9392
704     7.794373   -0.9372
705     7.555760   -0.9378
706     8.321691   -0.9425
707    15.618291   -0.9302
708     7.919996   -0.9416
709     7.265630   -0.9397
710     7.688089   -0.9413
711    10.659137   -0.9446
712    10.387835   -0.9342
713     8.011576   -0.9368
714     7.748240   -0.9414
715     8.012361   -0.9418
716     8.580734   -0.9431
717     7.756617   -0.9373
718     7.331601   -0.9392
719     9.947106   -0.9347
720    13.692298   -0.9316
721     7.373591   -0.9386
722     7.544150   -0.9381
723     7.780178   -0.9372
724     7.355759   -0.9404
725    11.687223   -0.9450
726     8.016305   -0.9417
727     7.687591   -0.9374
728     7.488930   -0.9406
729    10.454205   -0.9342
730     7.371092   -0.9402
731     7.336604   -0.9388
732     7.914081   -0.9416
733    11.931800   -0.9328
734     7.688089   -0.9413
735     8.073852   -0.9367
736     7.534935   -0.9381
737     8.191860   -0.9423
738     7.596057   -0.9409
739     7.669888   -0.9376
740     7.352839   -0.9403
741     8.994698   -0.9433
742     9.361330   -0.9437
743     9.070662   -0.9355
744     8.031957   -0.9418
745     8.152634   -0.9422
746     8.105311   -0.9367
747     8.042607   -0.9368
748     8.847578   -0.9359
749     7.666059   -0.9412
750     7.571637   -0.9378
751     8.676837   -0.9431
752     8.563682   -0.9430
753     7.300315   -0.9394
754     7.336604   -0.9388
755     7.322413   -0.9394
756     8.230874   -0.9424
757     9.512863   -0.9438
758     7.355742   -0.9403
759     7.343667   -0.9391
760     8.521812   -0.9362
761     7.440028   -0.9385
762     7.349964   -0.9390
763     8.189229   -0.9366
764     8.676837   -0.9431
765    10.454205   -0.9342
766     7.344563   -0.9393
767     8.933315   -0.9357
768    10.610228   -0.9340
769    15.283706   -0.9306
770     7.371092   -0.9402
771     7.265630   -0.9397
772     8.012361   -0.9417
773     7.815752   -0.9371
774     8.158350   -0.9423
775     7.361178   -0.9403
776     7.442877   -0.9384
777     7.684528   -0.9413
778     7.271282   -0.9397
779     8.933315   -0.9357
780     8.024092   -0.9419
781     7.908650   -0.9369
782     7.343667   -0.9391
783     8.580734   -0.9431
784     7.595627   -0.9408
785     7.499771   -0.9407
786     8.205426   -0.9366
787     7.288315   -0.9395
788     8.158350   -0.9423
789     7.373591   -0.9386
790     8.005714   -0.9419
791     7.499831   -0.9379
792     7.657131   -0.9376
793     7.657131   -0.9376
794     7.641825   -0.9411
795     8.019411   -0.9419
796     8.694815   -0.9432
797     8.028829   -0.9419
798     8.191860   -0.9423
799     7.268560   -0.9396
800     7.690080   -0.9375
801     7.923413   -0.9416
802     8.390581   -0.9426
803     9.070662   -0.9355
804     8.563682   -0.9430
805     8.646041   -0.9361
806    10.182015   -0.9344
807     7.703053   -0.9375
808     7.756617   -0.9373
809     7.517372   -0.9382
810     9.216722   -0.9434
811     7.592764   -0.9377
812     9.892417   -0.9442
813     7.352839   -0.9403
814     8.024092   -0.9419
815     8.267865   -0.9365
