n, chi2, alfa, beta, gama
208, 5.615737, 4.2509, 0.7376, -0.4756
209, 5.278628, 4.2122, 0.7960, -0.3702
210, 3.808661, 4.2149, 0.7852, -0.4406
211, 4.689199, 4.2078, 0.7871, -0.4134
212, 4.865754, 4.1488, 0.7966, -0.4027
213, 4.109389, 4.3451, 0.7911, -0.4411
214, 5.765736, 4.3935, 0.7894, -0.5255
215, 4.088810, 4.2711, 0.7814, -0.4904
216, 4.005754, 4.0775, 0.8303, -0.4733
217, 4.258782, 3.9590, 0.8171, -0.4068
218, 4.962727, 3.9132, 0.8528, -0.3307
219, 5.772833, 3.7866, 0.8025, -0.4678
220, 12.248665, 3.7318, 0.7794, -0.4658
221, 8.113250, 3.8466, 0.8557, -0.5089
222, 9.015435, 4.0133, 0.8375, -0.2963
223, 6.503049, 4.0592, 0.8753, -0.2965
224, 4.354327, 4.1228, 0.8305, -0.3482
225, 5.077541, 4.2181, 0.8620, -0.2412
226, 5.254970, 4.1425, 0.8962, -0.2219
227, 5.067017, 4.0454, 0.8371, -0.3273
228, 4.990339, 4.1706, 0.9013, -0.2332
229, 6.800630, 4.0512, 0.9467, -0.2400
230, 6.275695, 4.1924, 0.8684, -0.2616
231, 4.724471, 4.0566, 0.8791, -0.2599
232, 5.285706, 4.0599, 0.9283, -0.2276
233, 4.347250, 3.9432, 0.8620, -0.3261
234, 3.844589, 3.8939, 0.8285, -0.4193
235, 4.217293, 3.8679, 0.8265, -0.4803
236, 10.259102, 3.8164, 0.9077, -0.3446
237, 5.170139, 3.7691, 0.8243, -0.4675
238, 4.386937, 3.6607, 0.8930, -0.4489
239, 5.761171, 3.5440, 0.8638, -0.4124
240, 6.520444, 3.5015, 0.8875, -0.4572
241, 5.808861, 3.7076, 0.8445, -0.3776
242, 4.934612, 3.6481, 0.9250, -0.2778
243, 4.619249, 3.7137, 0.9017, -0.3695
244, 6.522735, 3.6384, 0.8865, -0.4672
245, 5.726182, 3.6758, 0.8313, -0.4500
246, 3.396709, 3.6724, 0.8597, -0.4410
247, 3.460146, 3.6268, 0.9028, -0.3973
248, 3.380062, 3.5137, 0.9011, -0.4169
249, 6.029117, 3.3078, 0.9711, -0.3767
250, 5.426999, 3.2031, 0.9433, -0.3784
251, 5.313818, 3.3782, 0.9451, -0.2853
252, 6.637811, 3.2955, 0.9956, -0.2243
253, 4.240196, 3.2890, 0.9545, -0.3328
254, 6.850519, 3.2058, 0.9275, -0.3989
255, 7.915364, 3.1770, 0.9291, -0.3650
256, 12.746301, 3.1094, 0.9490, -0.2955
257, 11.843230, 3.2114, 0.8849, -0.4457
258, 5.690140, 3.1699, 0.9709, -0.3923
259, 4.509452, 3.1998, 0.9720, -0.3580
260, 9.686978, 3.3013, 0.9279, -0.4642
261, 6.196177, 3.3903, 0.9457, -0.2790
262, 4.913531, 3.2360, 0.9709, -0.3715
263, 5.978882, 3.2478, 0.9922, -0.3145
264, 5.198986, 3.2753, 0.9388, -0.3969
265, 5.826143, 3.2292, 0.9470, -0.3510
266, 6.290434, 3.0858, 0.9649, -0.3897
267, 12.280651, 2.9611, 0.9713, -0.4389
268, 9.751660, 2.9228, 1.0442, -0.3210
269, 7.836929, 2.9214, 1.0414, -0.2907
270, 6.811503, 2.9420, 0.9920, -0.3511
271, 8.372611, 2.8979, 0.9963, -0.3165
272, 8.674738, 3.0310, 0.9883, -0.2912
273, 7.974257, 2.9889, 0.9754, -0.3336
