     ID ,       RA ,       DE ,   MagK ,    K_t , lgL_K ,  Vls ,   D_i ,     ID1
1016718 , 293.9763 , -30.6449 , -17.20 ,   9.63 ,  8.19 ,  449 ,  2.33 , 1016697
1013993 , 273.3289 , -11.1147 , -17.15 ,   7.31 ,  8.17 ,  261 ,  0.78 , 1016697
1016744 , 286.1804 , -21.7828 , -16.92 ,   9.92 ,  8.08 ,  129 ,  2.33 , 1016697
1016724 , 289.2729 , -17.3040 , -16.82 ,  10.04 ,  8.04 ,  695 ,  2.36 , 1016697
1016722 , 293.2473 , -11.1823 , -16.70 ,  10.28 ,  7.99 ,  111 ,  2.48 , 1016697
1016745 , 286.2276 , -20.6193 , -16.60 ,  10.63 ,  7.95 ,  265 ,  2.79 , 1016697
1016725 , 283.6036 , -20.7736 , -16.58 ,  10.50 ,  7.94 ,  201 ,  2.60 , 1016697
1016715 , 286.4998 , -31.9457 , -16.48 ,  10.63 ,  7.91 ,  631 ,  2.65 , 1016697
1086698 , 290.4094 ,  -5.3658 , -16.48 ,  10.93 ,  7.91 ,  531 ,  3.04 , 1016697
1016728 , 292.5145 , -16.3278 , -16.40 ,  10.94 ,  7.87 ,  -69 ,  2.94 , 1016697
1068643 , 286.9975 , -13.3931 , -16.39 ,  12.18 ,  7.87 ,  500 ,  5.16 , 1016697
1016736 , 293.5494 , -14.0279 , -16.36 ,  10.71 ,  7.85 ,  305 ,  2.59 , 1016697
1016749 , 287.8058 , -20.5816 , -16.27 ,  11.08 ,  7.82 ,  420 ,  2.96 , 1016697
1016719 , 282.5394 , -25.5111 , -16.26 ,  10.17 ,  7.82 ,  349 ,  1.93 , 1016697
1016734 , 291.2535 , -24.8935 , -16.23 ,  10.78 ,  7.80 ,  546 ,  2.53 , 1016697
1014009 , 284.5058 ,  -8.3755 , -16.21 ,   8.59 ,  7.80 ,   -3 ,  0.91 , 1016697
1069245 , 294.6440 , -10.8625 , -16.18 ,  11.85 ,  7.78 ,  656 ,  4.03 , 1016697
1014011 , 280.8065 ,  -5.9846 , -16.05 ,   8.43 ,  7.73 ,  449 ,  0.79 , 1016697
1016742 , 290.5144 , -16.5307 , -16.02 ,  11.43 ,  7.72 ,  398 ,  3.10 , 1016697
1071269 , 297.0582 , -26.4763 , -16.01 ,  11.38 ,  7.72 ,  171 ,  3.01 , 1016697
1016748 , 289.0618 , -18.6665 , -15.99 ,  10.96 ,  7.71 ,   46 ,  2.45 , 1016697
1016730 , 283.7633 , -10.4497 , -15.90 ,  11.01 ,  7.67 ,  648 ,  2.41 , 1016697
1014019 , 279.0936 ,  -4.9494 , -15.84 ,   8.56 ,  7.65 ,  218 ,  0.76 , 1016697
1074348 , 288.9398 , -31.8858 , -15.74 ,  11.96 ,  7.61 ,  546 ,  3.47 , 1016697
1016740 , 284.4620 , -19.0407 , -15.48 ,  11.51 ,  7.50 ,   29 ,  2.50 , 1016697
1073991 , 295.3794 , -15.1379 , -15.45 ,  13.33 ,  7.49 ,  608 ,  5.70 , 1016697
1016726 , 287.6172 , -22.3154 , -15.40 ,  11.46 ,  7.47 ,  142 ,  2.36 , 1016697
1016731 , 285.4632 , -25.6677 , -15.10 ,  12.18 ,  7.35 ,  295 ,  2.87 , 1016697
1014013 , 280.4411 , -22.2370 , -15.08 ,  10.10 ,  7.34 ,  504 ,  1.09 , 1016697
1077818 , 302.5699 , -15.3285 , -15.05 ,  14.14 ,  7.33 ,  515 ,  6.89 , 1016697
1014037 , 293.4123 ,  -5.6208 , -14.94 ,   8.23 ,  7.29 ,  307 ,  0.43 , 1016697
1016750 , 280.2450 , -27.1928 , -14.88 ,  11.87 ,  7.26 ,  522 ,  2.24 , 1016697
1016737 , 280.6858 , -31.2370 , -14.85 ,  12.31 ,  7.25 ,  536 ,  2.71 , 1016697
1089958 , 295.8658 , -22.6847 , -14.80 ,  12.65 ,  7.23 ,  175 ,  3.09 , 1016697
1016729 , 288.6216 ,  -3.4724 , -14.72 ,  12.10 ,  7.20 ,  116 ,  2.32 , 1016697
1016739 , 285.6855 , -22.0654 , -14.70 ,  12.26 ,  7.19 ,   90 ,  2.46 , 1016697
1014010 , 276.6937 , -28.8033 , -14.53 ,   9.81 ,  7.13 ,   34 ,  0.74 , 1016697
1016743 , 283.4812 , -29.1837 , -14.37 ,  12.57 ,  7.06 ,  464 ,  2.45 , 1016697
1016741 , 289.0439 , -25.3743 , -14.35 ,  12.74 ,  7.05 ,  179 ,  2.62 , 1016697
1091171 , 298.9807 , -20.9040 , -14.18 ,  13.10 ,  6.98 ,   93 ,  2.85 , 1016697
1091536 , 290.6812 ,  -3.1790 , -14.16 ,  13.52 ,  6.98 ,  506 ,  3.43 , 1016697
1013985 , 285.0169 , -24.4599 , -14.16 ,  11.27 ,  6.98 ,  -53 ,  1.22 , 1016697
1016735 , 281.3771 , -21.5763 , -14.12 ,  13.21 ,  6.96 ,  356 ,  2.93 , 1016697
1016732 , 283.6335 , -19.5689 , -14.07 ,  13.34 ,  6.94 ,   99 ,  3.04 , 1016697
1016751 , 287.0970 , -17.0992 , -14.07 ,  12.77 ,  6.94 ,  258 ,  2.34 , 1016697
1016747 , 292.8101 , -18.0081 , -14.05 ,  13.08 ,  6.93 ,  420 ,  2.67 , 1016697
1016752 , 288.7448 , -20.3580 , -14.01 ,  12.79 ,  6.92 ,  498 ,  2.29 , 1016697
1021395 , 244.1872 , -50.5750 , -25.20 ,   3.37 , 11.39 ,  412 ,  5.18 , 1021395
1021396 , 244.5844 , -52.0171 , -21.64 ,   6.82 ,  9.97 ,  364 ,  4.93 , 1021395
1021397 , 246.8237 , -47.6103 , -20.74 ,   7.72 ,  9.61 ,  331 ,  4.92 , 1021395
1021400 , 246.3202 , -50.9984 , -20.49 ,   8.04 ,  9.51 ,  365 ,  5.08 , 1021395
1041959 , 243.9810 , -49.8940 , -20.11 ,   9.27 ,  9.36 ,  515 ,  7.51 , 1021395
1021401 , 249.7775 , -51.2766 , -19.98 ,   8.66 ,  9.31 ,  376 ,  5.36 , 1021395
1052634 , 248.2673 , -46.4206 , -19.88 ,   8.75 ,  9.26 ,  468 ,  5.31 , 1021395
1021398 , 237.4352 , -48.6475 , -19.79 ,   8.69 ,  9.23 ,  413 ,  4.96 , 1021395
1048981 , 239.2667 , -49.0266 , -19.74 ,   9.79 ,  9.21 ,  572 ,  8.07 , 1021395
1021399 , 241.7301 , -49.1576 , -19.39 ,   9.26 ,  9.07 ,  375 ,  5.36 , 1021395
1025386 , 251.9664 , -51.2350 , -19.24 ,   9.82 ,  9.01 ,  400 ,  6.47 , 1021395
1021402 , 244.5508 , -52.4431 , -19.00 ,   9.64 ,  8.91 ,  267 ,  5.33 , 1021395
1021404 , 246.1461 , -50.1095 , -18.52 ,  10.15 ,  8.72 ,  336 ,  5.43 , 1021395
1041960 , 244.1055 , -49.7485 , -17.83 ,  11.55 ,  8.44 ,  533 ,  7.52 , 1021395
1021409 , 249.5181 , -48.9995 , -17.81 ,  10.72 ,  8.43 ,  276 ,  5.06 , 1021395
1021403 , 241.3533 , -49.7963 , -17.80 ,  10.63 ,  8.43 ,  193 ,  4.85 , 1021395
1021407 , 242.7779 , -52.6403 , -17.33 ,  11.09 ,  8.24 ,  327 ,  4.83 , 1021395
1021405 , 246.3825 , -51.6247 , -16.84 ,  11.78 ,  8.05 ,  306 ,  5.28 , 1021395
1021406 , 238.5727 , -51.7611 , -16.66 ,  11.86 ,  7.97 ,  262 ,  5.05 , 1021395
1021411 , 238.3467 , -50.7257 , -16.61 ,  12.03 ,  7.95 ,  443 ,  5.34 , 1021395
1091512 , 243.6602 , -45.3007 , -16.41 ,  11.92 ,  7.88 ,  408 ,  4.63 , 1021395
1065036 , 242.5743 , -45.3604 , -16.18 ,  11.98 ,  7.79 ,  409 ,  4.30 , 1021395
1021410 , 247.8637 , -49.8337 , -15.97 ,  12.57 ,  7.70 ,  473 ,  5.09 , 1021395
1025391 , 250.9887 , -51.7049 , -15.96 ,  13.11 ,  7.70 ,  395 ,  6.54 , 1021395
1021413 , 245.3221 , -50.8540 , -15.74 ,  12.84 ,  7.61 ,  101 ,  5.21 , 1021395
1021414 , 248.4972 , -49.3983 , -15.73 ,  12.81 ,  7.60 ,  340 ,  5.10 , 1021395
1025390 , 250.4874 , -49.9718 , -15.42 ,  13.78 ,  7.48 ,  426 ,  6.94 , 1021395
1080284 , 243.3187 , -54.1072 , -14.95 ,  13.83 ,  7.29 ,  473 ,  5.71 , 1021395
1021412 , 245.1733 , -50.8427 , -14.11 ,  14.63 ,  6.96 ,  387 ,  5.62 , 1021395
1013937 , 255.8929 ,  -6.6160 , -25.10 ,  -0.37 , 11.35 ,  249 ,  0.88 , 1013937
1013950 , 251.2693 , -22.6099 , -21.21 ,   4.49 ,  9.80 ,  396 ,  1.38 , 1013937
1051601 , 265.3561 , -13.7428 , -19.60 ,   6.85 ,  9.15 ,  303 ,  1.94 , 1013937
1048540 , 254.0679 , -15.5799 , -19.43 ,   9.29 ,  9.08 ,  520 ,  5.55 , 1013937
1049585 , 247.3185 ,  -5.4242 , -18.70 ,  11.14 ,  8.79 ,  707 ,  9.29 , 1013937
1013967 , 247.7006 , -25.2712 , -18.66 ,   6.51 ,  8.77 ,  236 ,  1.08 , 1013937
1077656 , 252.8492 , -10.3198 , -18.40 ,   7.74 ,  8.67 ,  283 ,  1.69 , 1013937
1058875 , 275.0294 ,  -1.3284 , -18.11 ,   9.32 ,  8.56 ,  632 ,  3.05 , 1013937
1014022 , 257.8706 ,  -7.9976 , -17.06 ,   8.17 ,  8.14 ,  187 ,  1.12 , 1013937
1014002 , 257.0684 , -20.1735 , -16.98 ,   8.43 ,  8.10 ,  122 ,  1.21 , 1013937
1014032 , 243.1189 , -19.9963 , -16.96 ,   7.26 ,  8.09 ,  322 ,  0.70 , 1013937
1013994 , 236.4517 ,  -2.6878 , -16.77 ,   7.84 ,  8.02 ,  583 ,  0.83 , 1013937
1067044 , 249.3653 ,  -9.2149 , -16.34 ,  13.30 ,  7.85 ,  646 ,  8.48 , 1013937
1013995 , 262.1123 , -19.4718 , -16.31 ,   8.18 ,  7.84 ,   34 ,  0.79 , 1013937
1014042 , 253.0573 ,  -4.2478 , -16.29 ,   8.58 ,  7.83 ,  465 ,  0.94 , 1013937
1014021 , 258.2906 , -11.2285 , -15.98 ,   8.80 ,  7.70 ,  556 ,  0.90 , 1013937
1014006 , 268.6081 ,   4.2636 , -15.55 ,   8.22 ,  7.53 ,  442 ,  0.57 , 1013937
1013982 , 267.0993 ,  -8.5615 , -15.39 ,  10.33 ,  7.47 ,  168 ,  1.39 , 1013937
1014036 , 245.9312 , -13.5322 , -14.97 ,   9.60 ,  7.30 ,  514 ,  0.82 , 1013937
1014044 , 247.6637 , -13.4460 , -14.95 ,   8.56 ,  7.29 ,  221 ,  0.50 , 1013937
1051134 , 247.8622 ,  -7.7508 , -14.65 ,  15.03 ,  7.17 ,  699 ,  8.65 , 1013937
1013980 , 260.3895 ,  -0.5920 , -14.50 ,  10.75 ,  7.11 ,  346 ,  1.12 , 1013937
1091474 , 253.6510 ,  -0.6450 , -14.32 ,  11.94 ,  7.04 ,  117 ,  1.79 , 1013937
1014041 , 268.4999 ,   2.2672 , -14.15 ,  11.07 ,  6.97 ,   16 ,  1.11 , 1013937
1021888 ,  53.7143 ,  -3.6396 , -24.80 ,   4.56 , 11.23 ,  773 ,  7.44 , 1021888
1021889 ,  54.9737 ,  -5.8443 , -20.25 ,   9.13 ,  9.41 ,  665 ,  7.52 , 1021888
1045294 ,  54.9594 ,  -4.0170 , -20.00 ,   9.88 ,  9.31 ,  762 ,  9.49 , 1021888
1049497 ,  56.1098 ,  -4.8790 , -19.37 ,  10.49 ,  9.06 ,  763 ,  9.35 , 1021888
1021893 ,  54.8981 ,  -2.3206 , -18.62 ,  10.78 ,  8.76 ,  802 ,  7.59 , 1021888
1021892 ,  52.9699 ,  -1.4176 , -18.57 ,  10.75 ,  8.74 ,  863 ,  7.33 , 1021888
1021891 ,  55.2904 ,  -4.1041 , -18.57 ,  10.84 ,  8.74 ,  686 ,  7.61 , 1021888
1021895 ,  53.7751 ,  -3.6958 , -18.50 ,  10.88 ,  8.71 ,  579 ,  7.54 , 1021888
1058981 ,  55.0313 ,  -5.2484 , -17.64 ,  12.15 ,  8.37 ,  734 ,  9.10 , 1021888
1021894 ,  52.4394 ,  -2.8536 , -17.05 ,  12.32 ,  8.13 ,  917 ,  7.48 , 1021888
1021898 ,  53.3717 ,  -4.5485 , -16.16 ,  13.11 ,  7.77 ,  694 ,  7.14 , 1021888
1021896 ,  51.4158 ,  -3.5500 , -15.87 ,  13.52 ,  7.66 ,  696 ,  7.53 , 1021888
1021899 ,  54.1238 ,  -5.5690 , -15.71 ,  13.60 ,  7.60 ,  667 ,  7.28 , 1021888
1021897 ,  54.9493 ,  -3.0513 , -14.52 ,  14.67 ,  7.12 ,  649 ,  6.91 , 1021888
1013938 , 259.8093 ,   4.8265 , -24.49 ,  -0.51 , 11.11 ,  492 ,  0.63 , 1013938
1013948 , 259.0504 ,  11.0557 , -22.76 ,   2.50 , 10.42 ,  311 ,  1.13 , 1013938
1013959 , 256.2972 ,  19.8463 , -21.78 ,   1.57 , 10.02 ,  508 ,  0.47 , 1013938
