 log10_L ,  log10_M
 8.34800 , 10.67915
 8.34900 , 10.67965
 8.35000 , 10.68015
 8.35100 , 10.68065
 8.35200 , 10.68115
 8.35300 , 10.68165
 8.35400 , 10.68215
 8.35500 , 10.68265
 8.35600 , 10.68315
 8.35700 , 10.68365
 8.35800 , 10.68415
 8.35900 , 10.68465
 8.36000 , 10.68515
 8.36100 , 10.68565
 8.36200 , 10.68615
 8.36300 , 10.68665
 8.36400 , 10.68715
 8.36500 , 10.68765
 8.36600 , 10.68815
 8.36700 , 10.68865
 8.36800 , 10.68915
 8.36900 , 10.68965
 8.37000 , 10.69015
 8.37100 , 10.69065
 8.37200 , 10.69115
 8.37300 , 10.69165
 8.37400 , 10.69215
 8.37500 , 10.69265
 8.37600 , 10.69315
 8.37700 , 10.69365
 8.37800 , 10.69415
 8.37900 , 10.69465
 8.38000 , 10.69515
 8.38100 , 10.69565
 8.38200 , 10.69615
 8.38300 , 10.69665
 8.38400 , 10.69715
 8.38500 , 10.69765
 8.38600 , 10.69815
 8.38700 , 10.69865
 8.38800 , 10.69915
 8.38900 , 10.69965
 8.39000 , 10.70015
 8.39100 , 10.70065
 8.39200 , 10.70115
 8.39300 , 10.70165
 8.39400 , 10.70215
 8.39500 , 10.70265
 8.39600 , 10.70315
 8.39700 , 10.70365
 8.39800 , 10.70415
 8.39900 , 10.70465
 8.40000 , 10.70515
 8.40100 , 10.70565
 8.40200 , 10.70615
 8.40300 , 10.70665
 8.40400 , 10.70715
 8.40500 , 10.70765
 8.40600 , 10.70815
 8.40700 , 10.70865
 8.40800 , 10.70915
 8.40900 , 10.70965
 8.41000 , 10.71015
 8.41100 , 10.71065
 8.41200 , 10.71115
 8.41300 , 10.71165
 8.41400 , 10.71215
 8.41500 , 10.71265
 8.41600 , 10.71315
 8.41700 , 10.71365
 8.41800 , 10.71415
 8.41900 , 10.71465
 8.42000 , 10.71515
 8.42100 , 10.71565
 8.42200 , 10.71615
 8.42300 , 10.71665
 8.42400 , 10.71715
 8.42500 , 10.71765
 8.42600 , 10.71815
 8.42700 , 10.71865
 8.42800 , 10.71915
 8.42900 , 10.71965
 8.43000 , 10.72015
 8.43100 , 10.72065
 8.43200 , 10.72115
 8.43300 , 10.72165
 8.43400 , 10.72215
 8.43500 , 10.72265
 8.43600 , 10.72315
 8.43700 , 10.72365
 8.43800 , 10.72415
 8.43900 , 10.72465
 8.44000 , 10.72515
 8.44100 , 10.72565
 8.44200 , 10.72615
 8.44300 , 10.72665
 8.44400 , 10.72715
 8.44500 , 10.72765
 8.44600 , 10.72815
 8.44700 , 10.72865
 8.44800 , 10.72915
 8.44900 , 10.72965
 8.45000 , 10.73015
 8.45100 , 10.73065
 8.45200 , 10.73115
 8.45300 , 10.73165
 8.45400 , 10.73215
 8.45500 , 10.73265
 8.45600 , 10.73315
 8.45700 , 10.73365
 8.45800 , 10.73415
 8.45900 , 10.73465
 8.46000 , 10.73515
 8.46100 , 10.73565
 8.46200 , 10.73615
 8.46300 , 10.73665
 8.46400 , 10.73715
 8.46500 , 10.73765
 8.46600 , 10.73815
 8.46700 , 10.73865
 8.46800 , 10.73915
 8.46900 , 10.73965
 8.47000 , 10.74015
 8.47100 , 10.74065
 8.47200 , 10.74115
 8.47300 , 10.74165
 8.47400 , 10.74215
 8.47500 , 10.74265
 8.47600 , 10.74315
 8.47700 , 10.74365
 8.47800 , 10.74415
 8.47900 , 10.74465
 8.48000 , 10.74515
 8.48100 , 10.74565
 8.48200 , 10.74615
 8.48300 , 10.74665
 8.48400 , 10.74715
 8.48500 , 10.74765
 8.48600 , 10.74815
 8.48700 , 10.74865
 8.48800 , 10.74915
 8.48900 , 10.74965
 8.49000 , 10.75015
 8.49100 , 10.75065
 8.49200 , 10.75115
 8.49300 , 10.75165
 8.49400 , 10.75215
 8.49500 , 10.75265
 8.49600 , 10.75315
 8.49700 , 10.75365
 8.49800 , 10.75415
 8.49900 , 10.75465
 8.50000 , 10.75515
 8.50100 , 10.75565
 8.50200 , 10.75615
 8.50300 , 10.75665
 8.50400 , 10.75715
 8.50500 , 10.75765
 8.50600 , 10.75815
 8.50700 , 10.75865
 8.50800 , 10.75915
 8.50900 , 10.75965
 8.51000 , 10.76015
 8.51100 , 10.76065
 8.51200 , 10.76115
 8.51300 , 10.76165
 8.51400 , 10.76215
 8.51500 , 10.76265
 8.51600 , 10.76315
 8.51700 , 10.76365
 8.51800 , 10.76415
 8.51900 , 10.76465
 8.52000 , 10.76515
 8.52100 , 10.76565
 8.52200 , 10.76615
 8.52300 , 10.76665
 8.52400 , 10.76715
 8.52500 , 10.76765
 8.52600 , 10.76815
 8.52700 , 10.76865
 8.52800 , 10.76915
 8.52900 , 10.76965
 8.53000 , 10.77015
 8.53100 , 10.77065
 8.53200 , 10.77115
 8.53300 , 10.77165
 8.53400 , 10.77215
 8.53500 , 10.77265
 8.53600 , 10.77315
 8.53700 , 10.77365
 8.53800 , 10.77415
 8.53900 , 10.77465
 8.54000 , 10.77515
 8.54100 , 10.77565
 8.54200 , 10.77615
 8.54300 , 10.77665
 8.54400 , 10.77715
 8.54500 , 10.77765
 8.54600 , 10.77815
 8.54700 , 10.77865
 8.54800 , 10.77915
 8.54900 , 10.77965
 8.55000 , 10.78015
 8.55100 , 10.78065
 8.55200 , 10.78115
 8.55300 , 10.78165
 8.55400 , 10.78215
 8.55500 , 10.78265
 8.55600 , 10.78315
 8.55700 , 10.78365
 8.55800 , 10.78415
 8.55900 , 10.78465
 8.56000 , 10.78515
 8.56100 , 10.78565
 8.56200 , 10.78615
 8.56300 , 10.78665
 8.56400 , 10.78715
 8.56500 , 10.78765
 8.56600 , 10.78815
 8.56700 , 10.78865
 8.56800 , 10.78915
 8.56900 , 10.78965
 8.57000 , 10.79015
 8.57100 , 10.79065
 8.57200 , 10.79115
 8.57300 , 10.79165
 8.57400 , 10.79215
 8.57500 , 10.79265
 8.57600 , 10.79315
 8.57700 , 10.79365
 8.57800 , 10.79415
 8.57900 , 10.79465
 8.58000 , 10.79515
 8.58100 , 10.79565
 8.58200 , 10.79615
 8.58300 , 10.79665
 8.58400 , 10.79715
 8.58500 , 10.79765
 8.58600 , 10.79815
 8.58700 , 10.79865
 8.58800 , 10.79915
 8.58900 , 10.79965
 8.59000 , 10.80015
 8.59100 , 10.80065
 8.59200 , 10.80115
 8.59300 , 10.80165
 8.59400 , 10.80215
 8.59500 , 10.80265
 8.59600 , 10.80315
 8.59700 , 10.80365
 8.59800 , 10.80415
 8.59900 , 10.80465
 8.60000 , 10.80515
 8.60100 , 10.80565
 8.60200 , 10.80615
 8.60300 , 10.80665
 8.60400 , 10.80715
 8.60500 , 10.80765
 8.60600 , 10.80815
 8.60700 , 10.80865
 8.60800 , 10.80915
 8.60900 , 10.80965
 8.61000 , 10.81015
 8.61100 , 10.81065
 8.61200 , 10.81115
 8.61300 , 10.81165
 8.61400 , 10.81215
 8.61500 , 10.81265
 8.61600 , 10.81315
 8.61700 , 10.81365
 8.61800 , 10.81415
 8.61900 , 10.81465
 8.62000 , 10.81515
 8.62100 , 10.81565
 8.62200 , 10.81615
 8.62300 , 10.81665
 8.62400 , 10.81715
 8.62500 , 10.81765
 8.62600 , 10.81815
 8.62700 , 10.81865
 8.62800 , 10.81915
 8.62900 , 10.81965
 8.63000 , 10.82015
 8.63100 , 10.82065
 8.63200 , 10.82115
 8.63300 , 10.82165
 8.63400 , 10.82215
 8.63500 , 10.82265
 8.63600 , 10.82315
 8.63700 , 10.82365
 8.63800 , 10.82415
 8.63900 , 10.82465
 8.64000 , 10.82515
 8.64100 , 10.82565
 8.64200 , 10.82615
