n, chi2, alfa, beta, gama
326, 6.489774, 4.4621, 0.7959, -0.3909
327, 4.262396, 4.8259, 0.7040, -0.5188
328, 10.720590, 4.7424, 0.8132, -0.1878
329, 4.876559, 4.9168, 0.6937, -0.4876
330, 9.057530, 4.1792, 0.8479, -0.3546
331, 4.130753, 3.5609, 0.9254, -0.3495
332, 6.341681, 3.9362, 0.7946, -0.4408
333, 4.816535, 4.1974, 0.8052, -0.3910
334, 5.688895, 5.2249, 0.7380, -0.2915
335, 6.062312, 3.5867, 0.9407, -0.2691
336, 5.613750, 4.4849, 0.7861, -0.3356
337, 7.349477, 5.0723, 0.7222, -0.4338
338, 6.683821, 4.3226, 0.8083, -0.4964
339, 4.951240, 3.9137, 0.8822, -0.3166
340, 3.966871, 4.0214, 0.8419, -0.4006
341, 3.519014, 3.9086, 0.8454, -0.4126
342, 5.835806, 3.3651, 0.9294, -0.4295
343, 9.991064, 5.1571, 0.8774, -0.2336
344, 5.566699, 4.6961, 0.7515, -0.4760
345, 3.296500, 3.5951, 0.8911, -0.4286
346, 4.718924, 4.3998, 0.8375, -0.2504
347, 7.504342, 3.9821, 0.7868, -0.4244
348, 7.866552, 3.5156, 0.9219, -0.4615
349, 7.432155, 4.4191, 0.7311, -0.4360
350, 7.261564, 4.5219, 0.7693, -0.3409
351, 11.995456, 3.4731, 0.8898, -0.2965
352, 7.947269, 3.6670, 0.8587, -0.4915
353, 5.142137, 4.2260, 0.7921, -0.3880
354, 7.833092, 3.9925, 0.8159, -0.5260
355, 3.402245, 3.7805, 0.8760, -0.3980
356, 3.574588, 3.9493, 0.8347, -0.4037
357, 5.244750, 4.1423, 0.8193, -0.5031
358, 6.040635, 4.9308, 0.7138, -0.4550
359, 5.806066, 4.0452, 0.9237, -0.2264
360, 5.009313, 4.3423, 0.7685, -0.5292
361, 7.427701, 5.0263, 0.7123, -0.4572
362, 5.220729, 4.2509, 0.8359, -0.2816
363, 3.281992, 3.7213, 0.8826, -0.4072
364, 8.403381, 4.7185, 0.9672, -0.1532
365, 4.287545, 3.7472, 0.8394, -0.4142
366, 3.685502, 3.6507, 0.9035, -0.4182
367, 3.210803, 3.5560, 0.8994, -0.4164
368, 18.993882, 3.8803, 0.8953, -0.4613
369, 11.178140, 3.3782, 0.8611, -0.4631
370, 6.801918, 4.5832, 0.7764, -0.3130
371, 6.715838, 3.8133, 0.8458, -0.3382
372, 6.682116, 3.6987, 0.8378, -0.4649
373, 7.759746, 4.5985, 0.7871, -0.4094
374, 7.874309, 3.5778, 0.8452, -0.4570
375, 8.358895, 4.8829, 0.9052, -0.2195
376, 4.135874, 3.5811, 0.9206, -0.2994
377, 6.235631, 5.2336, 0.8489, -0.2269
378, 5.223455, 4.4040, 0.8217, -0.2606
379, 4.007409, 3.8103, 0.8819, -0.4098
380, 4.335266, 3.7113, 0.8521, -0.3853
381, 3.474599, 4.2074, 0.7982, -0.4572
382, 5.790787, 4.1026, 0.7711, -0.5109
383, 5.103852, 4.3301, 0.8180, -0.3683
384, 4.957081, 4.1699, 0.7767, -0.5013
385, 7.411214, 4.7005, 0.8411, -0.2114
386, 4.564905, 4.0998, 0.8328, -0.3411
387, 6.129793, 4.5173, 0.8495, -0.2552
388, 7.135574, 4.8120, 0.8800, -0.1898
389, 5.984825, 4.8242, 0.8142, -0.2569
390, 7.481633, 4.6009, 0.7494, -0.3706
391, 8.087080, 3.8869, 0.8786, -0.4593
392, 4.251286, 3.8353, 0.8237, -0.4334
393, 7.831549, 3.6527, 0.9125, -0.4448
394, 6.608058, 4.1810, 0.8254, -0.5041
395, 4.622683, 4.3895, 0.8004, -0.3422
