  n        chi2     alfa     beta      gama
190    5.024635   4.2382   0.8321   -0.3109
191    9.786720   3.7648   0.9588   -0.2495
192    9.176445   4.3295   0.8226   -0.4424
193    5.429059   3.8048   0.8866   -0.4056
194    3.833006   4.0440   0.8089   -0.4863
195    5.143360   3.9403   0.7771   -0.4805
196    6.050272   4.0381   0.7730   -0.4608
197   10.336245   5.3325   0.7036   -0.5320
198    4.352259   4.1808   0.8293   -0.3231
199    3.415374   3.8433   0.8533   -0.4229
200    6.155382   4.0902   0.8474   -0.3812
201    3.320353   3.6781   0.8645   -0.4345
202    6.108796   4.9228   0.6764   -0.5121
203    5.141592   4.3468   0.8343   -0.2777
204    7.983368   3.8973   0.8831   -0.4358
205    3.509320   4.1067   0.8126   -0.4376
206    4.637436   3.8322   0.8509   -0.3707
207    7.713724   5.0962   0.7057   -0.4448
208    5.515214   4.2917   0.9393   -0.2063
209    5.643745   4.3139   0.8592   -0.2264
210    6.547906   3.7546   0.8533   -0.4918
211    4.095722   4.0134   0.8420   -0.3943
212    5.118450   3.4733   0.9060   -0.4317
213    5.938959   3.1584   0.9555   -0.3900
214    3.537312   3.8240   0.8314   -0.4603
215    3.869131   4.3493   0.7844   -0.4648
216    5.866255   3.5416   0.9153   -0.4426
217    5.706899   3.8057   0.8738   -0.4678
218    4.585884   4.1868   0.8381   -0.3300
219    5.074995   3.5708   0.9421   -0.2861
220    4.987634   4.3469   0.7435   -0.4789
221   14.837904   3.0226   0.9368   -0.3377
222   14.066568   5.3365   0.8650   -0.2561
223    9.680044   5.6561   0.7121   -0.3045
224   13.638845   3.8534   0.7699   -0.5198
225    5.231188   3.3087   0.9213   -0.3962
226    7.809594   5.6422   0.7006   -0.2918
227    9.609710   4.5852   0.6912   -0.4395
228    5.888218   5.4294   0.6130   -0.5392
229    7.759866   4.1367   0.7968   -0.5377
230    5.710161   4.3977   0.8226   -0.3281
231    7.334363   4.9289   0.8718   -0.2485
232    5.286833   4.0688   0.7986   -0.3997
233    6.235539   4.6868   0.7692   -0.3208
234    4.731620   3.8010   0.8661   -0.3414
235    3.882211   3.5774   0.8956   -0.3585
236    6.588059   3.8460   0.9034   -0.2831
237    3.778096   3.8493   0.8604   -0.3714
238    4.406580   4.0415   0.8040   -0.4060
239    5.263480   4.0526   0.7918   -0.4729
240    5.204171   4.4817   0.7749   -0.4412
241    4.552349   3.5321   0.9261   -0.3643
242    3.828682   4.1214   0.8053   -0.4873
243    8.879683   5.5054   0.6600   -0.4545
244   11.192944   3.2313   0.8778   -0.4110
245   11.430060   3.7284   0.8231   -0.5194
246    8.435165   4.3598   0.8142   -0.4098
247    4.215486   3.9289   0.8092   -0.4305
248    7.057296   2.9616   1.0345   -0.2375
249    4.477159   4.1250   0.8284   -0.4477
250    5.182295   4.4017   0.7905   -0.4029
251    6.115525   4.2260   0.8252   -0.3800
252    8.006714   4.7951   0.6855   -0.5704
253    4.998422   4.8125   0.7354   -0.4814
254    4.218957   4.0805   0.8350   -0.4228
255    5.037187   3.8269   0.8898   -0.3923
256    6.323664   4.5942   0.7717   -0.4267
257    4.487109   4.0615   0.7914   -0.4338
258    5.956945   4.6333   0.7500   -0.3913
259   12.057835   4.7795   0.7832   -0.3706
260    6.655995   4.3994   0.7167   -0.5143
261    3.767888   4.2871   0.7814   -0.4454
262    4.410746   4.0363   0.8003   -0.4039
263    4.752254   3.7081   0.8962   -0.4420
264    6.268843   4.3907   0.8837   -0.2085
265    6.645922   4.5329   0.7326   -0.4189
266    8.735101   3.5169   0.9481   -0.3533
267    4.418459   3.2470   0.9540   -0.3618
268    5.820826   4.1850   0.9068   -0.2455
269    5.449558   5.2787   0.6443   -0.5455
270    4.738721   4.0791   0.8280   -0.3495
271    5.369823   3.9621   0.8706   -0.3435
272    5.536057   4.1478   0.8049   -0.3716
273   16.581688   3.4565   0.8121   -0.4693
274   14.296227   4.1930   0.7830   -0.3114
275    4.328063   4.1789   0.7974   -0.4082
276    3.493241   3.8476   0.8432   -0.4359
277    3.978684   3.8035   0.8791   -0.3487
278    3.866338   4.1851   0.8097   -0.4196
279    3.920134   3.6629   0.9052   -0.4281
280    3.436656   4.0421   0.8188   -0.4284
281    4.806883   4.2964   0.7708   -0.5111
282    3.577787   3.5094   0.9234   -0.3408
283    7.364903   3.8258   0.8750   -0.2837
284    6.074714   4.1401   0.8096   -0.3524
285    8.339825   3.4189   0.9313   -0.4588
286   12.277437   4.1312   0.7713   -0.3763
287    3.499828   3.6557   0.8983   -0.3714
288    5.154220   3.1908   0.9624   -0.3398
289    6.425541   4.8780   0.7469   -0.3677
290    6.408991   3.0807   0.9763   -0.3260
291    7.495737   3.6047   0.8502   -0.4105
292    6.131222   4.9127   0.7634   -0.3098
293    6.110568   4.3700   0.7950   -0.5016
294    5.223385   3.9711   0.7964   -0.4536
295    5.003246   4.3270   0.7817   -0.5232
296    4.106043   4.0316   0.8259   -0.4590
297    5.777949   4.0091   0.8367   -0.4985
298    5.055669   4.1733   0.8174   -0.3453
299    4.839666   3.9400   0.8751   -0.3052
300    3.562972   3.8426   0.8485   -0.4278
301    4.143391   3.5876   0.9077   -0.3371
302    6.953015   3.6100   0.9788   -0.1988
303    7.951267   4.4009   0.7204   -0.4457
304    7.436981   3.5973   0.8252   -0.4175
305    6.521787   3.0891   0.9885   -0.2981
306    3.728009   4.1711   0.8055   -0.4262
307    4.182214   3.6481   0.8967   -0.4413
308    7.528320   3.8818   0.9097   -0.2060
309    5.642924   4.0036   0.8499   -0.3006
310    9.745877   2.7945   0.9996   -0.3596
311    4.631785   4.7838   0.7152   -0.4983
312    4.133975   4.3657   0.7726   -0.4478
313    6.321218   3.5259   0.8671   -0.3745
314    5.671867   4.7366   0.8051   -0.2590
315    5.344074   4.1070   0.8390   -0.3880
316    5.873880   3.5848   0.9242   -0.2556
317    6.582111   4.2097   0.8328   -0.3924
318    4.430178   4.4000   0.7864   -0.3846
319    6.688159   4.7035   0.7595   -0.4314
320    5.745184   3.4382   0.9101   -0.4364
321    3.402759   4.1494   0.8053   -0.4510
322    6.690772   3.9248   0.8139   -0.3702
323    3.764942   4.4055   0.7605   -0.4746
324    8.858122   3.9838   0.7760   -0.5324
325    3.868607   3.9918   0.8058   -0.4640
326    6.274109   5.5368   0.7777   -0.2221
327    5.822309   3.6469   0.8595   -0.4622
328    6.733144   3.8657   0.8433   -0.5007
329    6.093812   4.0488   0.8738   -0.2993
330    5.334375   5.8516   0.8482   -0.1731
331    4.036454   3.9397   0.8574   -0.3673
332    3.459127   3.8261   0.8598   -0.4518
333    3.562155   3.6897   0.8534   -0.4451
334    4.517572   3.6122   0.9044   -0.4333
335    5.317213   3.9288   0.8525   -0.4863
336    7.117959   3.5360   0.8538   -0.4207
337    4.701996   3.5126   0.8878   -0.3583
338    5.694809   4.5921   0.7982   -0.3321
339    4.631397   4.1298   0.8132   -0.4993
340    3.577551   4.2217   0.7945   -0.4740
341    4.474511   3.4421   0.9308   -0.3135
342    3.953555   4.2523   0.7853   -0.4865
343    7.306098   4.7591   0.7636   -0.2917
344    7.578691   5.4354   0.7775   -0.2833
345    6.995279   3.9952   0.7799   -0.4393
346    6.255796   4.0916   0.7605   -0.4550
347    6.099126   4.2267   0.7980   -0.3600
348    5.625913   3.7656   0.8302   -0.4234
349    4.944985   4.2184   0.8197   -0.3957
350    7.428603   4.5845   0.6937   -0.5288
351    6.063281   4.1378   0.8446   -0.3904
352    9.242332   4.4847   0.8595   -0.2754
353    8.739347   3.6449   0.8124   -0.4544
354    4.444866   4.6860   0.7228   -0.5257
355    6.094548   5.0326   0.7037   -0.5422
356    6.124359   4.9083   0.7561   -0.3292
357    7.552211   5.0540   0.7869   -0.2742
358    9.939386   3.1202   0.9993   -0.4048
359    7.365925   4.6389   0.7353   -0.5717
360    6.396014   4.0309   0.7976   -0.5151
361    6.102621   4.7772   0.8138   -0.2269
362    3.962372   3.9128   0.8318   -0.3980
363    5.333041   4.9159   0.7694   -0.2864
364    5.026065   3.8496   0.8541   -0.3464
365    5.207636   4.3259   0.7815   -0.3831
366    4.788438   4.6417   0.7546   -0.5073
367    5.175826   5.1851   0.6830   -0.5409
368    5.982938   5.5591   0.8730   -0.1608
369    4.442907   4.6218   0.7499   -0.4810
370    5.377912   3.9768   0.8735   -0.3235
371    8.752485   3.2814   0.9210   -0.3203
372   11.187882   3.8442   0.9054   -0.3551
373   10.797036   4.5619   0.6657   -0.5020
374    5.850684   3.2950   0.9421   -0.3232
375   11.224136   3.4857   0.8319   -0.4209
376    5.471049   4.7677   0.7308   -0.4784
377    7.050445   3.5967   0.9166   -0.4489
378    6.827241   4.8001   0.8141   -0.2677
379    8.030539   3.6259   0.9394   -0.2886
380    8.223810   4.8860   0.7446   -0.4081
381    5.518805   3.0361   1.0032   -0.3052
382    4.691000   4.3803   0.7904   -0.3969
383    5.161552   4.1850   0.7755   -0.5118
384    7.362204   4.4948   0.7597   -0.3652
385    5.909792   4.3114   0.8330   -0.3091
386    6.549951   4.2682   0.7537   -0.4472
387    7.379812   4.5403   0.7718   -0.3245
388    3.818193   3.7778   0.8531   -0.3948
389    4.633314   3.9994   0.8378   -0.3526
390    3.700789   4.3219   0.7766   -0.4608
391    6.583770   4.1782   0.8792   -0.2475
392    3.130369   3.5662   0.8982   -0.4159
393    3.877712   4.3140   0.7852   -0.4508
394    6.912724   3.5382   0.8857   -0.4637
395    5.681368   4.2247   0.7575   -0.4617
396    2.948949   3.7234   0.8772   -0.4300
397    7.499185   3.4064   0.9227   -0.4576
398    5.159148   4.5417   0.7525   -0.4139
399    8.472258   4.2991   0.7211   -0.5379
400   10.310272   3.5719   0.8483   -0.3698
401    9.238274   3.1398   1.0177   -0.2837
402    6.434125   4.0656   0.7818   -0.5126
403    4.125966   3.5677   0.8712   -0.3851
404    6.201148   5.1113   0.6507   -0.5446
405    5.211506   5.4938   0.8113   -0.2229
406    9.434871   3.2764   0.8946   -0.4336
407    4.577350   4.0948   0.8341   -0.3349
408    5.568583   3.6439   0.8687   -0.3603
409    8.018323   3.8234   0.7892   -0.4617
410    5.595405   4.2664   0.8552   -0.2832
411    6.468180   4.9166   0.7072   -0.4195
412    7.293391   3.8487   0.8442   -0.5070
413    6.251863   4.7433   0.6962   -0.4786
414    9.071738   3.6280   0.8472   -0.4861
415    7.623132   4.1275   0.8174   -0.5236
416    4.377286   3.7821   0.8911   -0.3558
417    5.078369   4.3762   0.7381   -0.5010
418    3.802415   3.8927   0.8517   -0.4084
419    6.114546   4.3421   0.8475   -0.2705
420    6.990872   3.9724   0.8068   -0.3607
421    8.706951   3.3307   0.8656   -0.4084
422    8.633659   3.4522   0.8740   -0.4562
423    3.937568   3.8924   0.8532   -0.4286
424    6.570092   3.3424   0.9198   -0.4341
425    3.931016   4.5446   0.7462   -0.4783
426    9.827559   4.2559   0.7826   -0.3341
427    8.757992   3.3683   0.9066   -0.4635
428    6.243369   3.3971   0.9258   -0.3167
429    5.627474   3.5605   0.9444   -0.2432
430    3.313955   3.6295   0.8852   -0.3988
431    3.913417   3.8811   0.8440   -0.3877
432    3.789649   3.9406   0.8423   -0.4533
433    6.637666   4.9230   0.7349   -0.3435
434    7.047888   4.3620   0.7841   -0.3403
435    4.857438   4.0138   0.8624   -0.3418
436   14.397276   3.6061   0.8516   -0.5169
437   11.304106   4.5231   0.7540   -0.5803
438    4.545247   4.2726   0.8080   -0.4211
439    5.432496   3.9551   0.8350   -0.4944
440   19.065921   3.1943   0.8482   -0.4422
441   14.979517   3.7096   0.9265   -0.3772
442    3.975082   3.8111   0.8689   -0.4268
443    3.418454   4.0476   0.8160   -0.4305
444    4.662869   3.7470   0.8736   -0.3336
445    4.608234   4.0010   0.8038   -0.4036
446    4.840877   4.5323   0.7552   -0.4492
447    3.907024   4.3848   0.7889   -0.4666
448    5.299617   4.6336   0.7258   -0.4433
449    7.833803   3.1780   0.9519   -0.4370
450    6.548669   4.4110   0.8984   -0.2467
451    5.036685   5.2738   0.6675   -0.5353
452    3.783662   4.0722   0.8084   -0.4635
453    5.331038   4.1201   0.8303   -0.4766
454    4.160782   3.9343   0.8543   -0.4192
455    4.913218   4.2484   0.8134   -0.4597
456    9.571514   4.5200   0.7442   -0.3534
457    7.758373   3.2393   0.9260   -0.3460
458    7.355653   3.6230   0.8440   -0.4634
459    3.926955   3.8573   0.8654   -0.4434
460    8.503512   3.9317   0.7669   -0.4945
461    9.424441   4.0675   0.7521   -0.4238
462    7.649562   3.3873   0.9591   -0.3580
463    5.794624   3.6413   0.8663   -0.3519
464    9.406814   5.0172   0.7402   -0.4067
465    3.892267   3.7510   0.8435   -0.4087
466    4.618521   4.5582   0.7540   -0.4633
467    3.668696   3.9462   0.8188   -0.4305
468    4.656719   4.3069   0.8815   -0.2233
469    5.470382   4.1140   0.8042   -0.3820
470    3.668232   3.5310   0.8885   -0.3853
471    3.321701   4.0379   0.8318   -0.4340
472    3.701221   3.8090   0.8426   -0.4677
473    9.003972   4.7398   0.6479   -0.5299
474    3.550164   3.6520   0.8959   -0.3745
475    6.132925   3.9638   0.9513   -0.2202
476    5.820129   4.8108   0.7371   -0.5395
477    6.934224   3.5734   0.9124   -0.2750
478    5.254577   3.4023   0.9187   -0.4221
479    5.567164   3.8969   0.7887   -0.4752
480    6.378930   4.3533   0.8101   -0.4475
481    4.649193   4.1847   0.8192   -0.3789
482    4.573287   3.7750   0.9019   -0.2857
483    4.420508   3.9912   0.8095   -0.3981
484    3.726376   3.4706   0.9314   -0.3414
485    4.352925   3.5626   0.9058   -0.4367
486    3.822087   4.0547   0.8164   -0.4612
